Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality
8,33,64,1,0.01,1.0197430313008522
8,33,64,1,0.01,1.019854676018149
8,33,64,1,0.01,1.0199301019733564
8,34,64,1,0.01,1.019554310524047
8,34,64,1,0.01,1.0197631740614757
8,34,64,1,0.01,1.0194740012992978
8,34,64,1,0.01,1.0192976839559262
8,34,64,1,0.01,1.019612850465046
8,34,64,1,0.01,1.0196671887159874
8,34,64,1,0.01,1.0194967514577369
8,34,64,1,0.01,1.0194469674006015
8,34,64,1,0.01,1.019524548011928
8,34,64,1,0.01,1.0195776751343024
8,35,64,1,0.01,1.0194172654803528
8,35,64,1,0.01,1.0192267346938375
8,35,64,1,0.01,1.0189672098089546
8,35,64,1,0.01,1.019103007350995
8,35,64,1,0.01,1.0189260197574663
8,35,64,1,0.01,1.0192714132928704
8,35,64,1,0.01,1.0189239047906378
8,35,64,1,0.01,1.018931710380177
8,35,64,1,0.01,1.0190192489587329
8,35,64,1,0.01,1.0192434498692862
8,36,64,1,0.01,1.0189285338678455
8,36,64,1,0.01,1.0189130681469867
8,36,64,1,0.01,1.01865030879121
8,36,64,1,0.01,1.0186508495441207
8,36,64,1,0.01,1.0187538902846702
8,36,64,1,0.01,1.018927637389722
8,36,64,1,0.01,1.0186087484304227
8,36,64,1,0.01,1.018839932977995
8,36,64,1,0.01,1.0187547966165178
8,36,64,1,0.01,1.018815634714696
8,37,64,1,0.01,1.0186640476736033
8,37,64,1,0.01,1.01856835440381
8,37,64,1,0.01,1.0182894590975238
8,37,64,1,0.01,1.0184087760707679
8,37,64,1,0.01,1.0183247522883208
8,37,64,1,0.01,1.0184683580684937
8,37,64,1,0.01,1.0182496118592892
8,37,64,1,0.01,1.0183643909194293
8,37,64,1,0.01,1.018490405184237
8,37,64,1,0.01,1.0186618997454564
8,38,64,1,0.01,1.0181458126359815
8,38,64,1,0.01,1.0182288729909825
8,38,64,1,0.01,1.018034491870997
8,38,64,1,0.01,1.0181112040761822
8,38,64,1,0.01,1.018197103995266
8,38,64,1,0.01,1.018103747028776
8,38,64,1,0.01,1.0180052334325331
8,38,64,1,0.01,1.0181529044427786
8,38,64,1,0.01,1.0181798602360022
8,38,64,1,0.01,1.0182562599094789
8,39,64,1,0.01,1.0178009258805727
8,39,64,1,0.01,1.017996898999736
8,39,64,1,0.01,1.0176616892030743
8,39,64,1,0.01,1.0176996462758012
8,39,64,1,0.01,1.017849107556827
8,39,64,1,0.01,1.017697444933381
8,39,64,1,0.01,1.0176849169460311
8,39,64,1,0.01,1.0178865436081928
8,39,64,1,0.01,1.0178771188176008
8,39,64,1,0.01,1.017831167838699
8,40,64,1,0.01,1.017632457523458
8,40,64,1,0.01,1.0174871656799414
8,40,64,1,0.01,1.0174974057143331
8,40,64,1,0.01,1.0174097460181892
8,40,64,1,0.01,1.0175256927533813
8,40,64,1,0.01,1.0175235900958144
8,40,64,1,0.01,1.0173145059053335
8,40,64,1,0.01,1.0174000009721096
8,40,64,1,0.01,1.0175035307861555
8,40,64,1,0.01,1.0176005387605984
8,41,64,1,0.01,1.0173161528484547
8,41,64,1,0.01,1.0171873430927298
8,41,64,1,0.01,1.0170774919217866
8,41,64,1,0.01,1.01712425788131
8,41,64,1,0.01,1.0173154669791016
8,41,64,1,0.01,1.0173037961034537
8,41,64,1,0.01,1.0168637926072377
8,41,64,1,0.01,1.0170558786170443
8,41,64,1,0.01,1.017173379088753
8,41,64,1,0.01,1.0173128270026042
8,42,64,1,0.01,1.0168677467452392
8,42,64,1,0.01,1.0169613325983249
8,42,64,1,0.01,1.016943281711033
8,42,64,1,0.01,1.016841658003279
8,42,64,1,0.01,1.0168240993640325
8,42,64,1,0.01,1.0169246688822853
8,42,64,1,0.01,1.0167299152916422
8,42,64,1,0.01,1.0168225832527003
8,42,64,1,0.01,1.0169459364774875
8,42,64,1,0.01,1.016947038270118
8,43,64,1,0.01,1.0167923837635189
8,43,64,1,0.01,1.016728483662973
8,43,64,1,0.01,1.016513322238523
8,43,64,1,0.01,1.0165493333090985
8,43,64,1,0.01,1.0165928055088373
